Paises,tipo_de_processo,Utilização_final,Numero_de_plantas,Capacidade_de_produção_T/ano,Produção_T/ano,Ano,Total,Cluster
Austria,By-product,Other chemicals,1,2184,135408,2023,137592,0
Austria,By-product,Refining,1,102486,8496248705,2023,8496351191,2
Austria,Reforming,Ammonia,1,967661125,7160692325,2023,8128353450,1
Austria,Reforming,Refining,1,5757072,4772702176,2023,4778459248,2
Austria,Reforming,Ammonia,1,38982,28847,2023,67829,0
Austria,Reforming,Other chemicals,1,3300,24585,2023,27885,0
Belgium,By-product,Unknown,1,11200,6944,2023,18144,0
Belgium,By-product,Other chemicals,2,18872,1170064,2023,1188936,0
Belgium,By-product,Other chemicals,1,1844748,1733205,2023,3577953,0
Belgium,By-product,Refining,1,1981396,1861591,2023,3842987,0
Belgium,By-product,Industrial heat,1,9889,736731,2023,746620,0
Belgium,Reforming,Ammonia,2,14981098,11086013,2023,26067111,0
Belgium,Reforming,Other chemicals,1,29660,220967,2023,250627,0
Belgium,Reforming,Refining,2,186560,17527963,2023,17714523,0
Belgium,Reforming,Ammonia,1,7878998,5830459,2023,13709457,0
Bulgaria,By-product,Refining,1,768645,496663,2023,1265308,0
Bulgaria,Reforming,Ammonia,1,7989863,5912498,2023,13902361,0
Bulgaria,Reforming,Refining,1,95000,6081448,2023,6176448,0
Croatia,Reforming,Ammonia,1,7989863,1917567,2023,9907430,0
Croatia,Reforming,Refining,1,70000,4767677,2023,4837677,0
Czechia,By-product,Other chemicals,1,2100,1302,2023,3402,0
Czechia,By-product,Other chemicals,1,999239,85649,2023,1084888,0
Czechia,By-product,Refining,1,2500,214286,2023,216786,0
Czechia,Reforming,Ammonia,1,5326575,3941666,2023,9268241,0
Czechia,Reforming,Other chemicals,1,11000,1016925,2023,1027925,0
Czechia,Reforming,Refining,2,5173237,4434203,2023,9607440,0
Denmark,Reforming,Methanol,1,16407,7547,2023,23954,0
Denmark,Reforming,Refining,2,29000,2520331,2023,2549331,0
Finland,By-product,Other chemicals,1,2100,1302,2023,3402,0
Finland,By-product,Other chemicals,1,717402,686059,2023,1403461,0
Finland,By-product,Other chemicals,3,13980,104151,2023,118131,0
Finland,Reforming,Other chemicals,4,177171,1319924,2023,1497095,0
Finland,Reforming,Refining,2,12072044,11544625,2023,23616669,0
Finland,Reforming,Refining,1,35040,3350913,2023,3385953,0
Finland,Reforming,Other chemicals,1,7884,58736,2023,66620,0
France,By-product,Unknown,7,28056,1739472,2023,1767528,3
France,By-product,Other chemicals,1,1176,72912,2023,74088,0
France,By-product,Unknown,1,9324,578088,2023,587412,0
France,By-product,Other chemicals,1,802807,466366,2023,1269173,0
France,By-product,Refining,5,3962792,2302061,2023,6264853,0
France,By-product,Unknown,1,36834,274413,2023,311247,0
France,By-product,Other chemicals,1,44727,333216,2023,377943,0
France,By-product,Refining,1,10652404,1072399,2023,11724803,0
France,Reforming,Ammonia,4,2661512,12509106,2023,15170618,0
