ID,quantidade projeto,Nome do projeto,Local,Finalidade,Capacidade(T/ano),Valor(R$ milhões),Cluster
0,0,Solatio,Parnaíba-PI,H2V,500000.0,50000.0,2
2,2,Fortescue,Porto de Pecém-CE,H2V,305505.0,6000.0,1
12,12,Enegix,Porto de Pecém-CE,H2V,600000.0,5400.0,1
13,13,EDP,Porto de Pecém-CE,H2V,2000.0,42.0,0
14,14,Qair,Porto de Pecém-CE,H2V,488000.0,6900.0,1
0,0,Casa dos Ventos,Porto de Pecém-CE,H2V e NH3,365000.0,4000.0,1
18,18,Enterprize Energy,Touros-CE,H2V,0.0,0.0,0
3,3,Qair,Suape-PE,H2V,488000.0,3900.0,1
0,0,White Martins,Porto de Suape,H2V,0.0,0.0,0
9,9,Unigel,Camaçari-BA,NH3V,600000.0,1500.0,1
4,4,Porto Central,Espírito Santos,H2V,0.0,0.0,0
11,11,Fortescue,Porto do Açu-RJ,H2V,250000.0,0.0,1
0,0,Porto Norte Fluminense,UNLOCK,H2V,0.0,0.0,0
1,1,UFRJ,Rio de Janeiro,Onibus,0.0,0.0,0
10,10,Angra 1 e 2,Angra-RJ,Purificação de H2,300.0,0.0,0
5,5,Porto de Santos,São Paulo,H2V,0.0,0.0,0
6,6,UNIFEI,Itajubá-MG,H2V,46.5,0.0,0
0,0,Shell/Raízen/Hytron/Toyota,USP-SP,Onibus,390.0,50.0,0
8,8,Yara/Raízen,Cubatão-SP,Reforma a vapor BioCH4 e NH3V,240.0,0.0,0
0,0,Atlas Agro,Uberaba-MG,NH3V,500000.0,43000.0,2
6,6,PTI,Itumbiara-GO,H2V,10.0,45.0,0
0,0,Copel,Curitibas- PR,Transporte,0.0,12.0,0
0,0,HUB Begreen - Tio Hugo,Distrito Industrial,NH3V,4000.0,65.0,0
15,15,HUB Begreen - Usina Escola,Passo Fundo,NH3V,2000.0,45.0,0
16,16,Enerfim,Porto do Rio Grande,NH3V,0.0,0.0,0
17,17,White Martins,Porto do Rio Grande,H2V,0.0,0.0,0
0,0,Neoenergia,Porto do Rio Grande,H2V,0.0,0.0,0
6,6,Norte Energia,Belo Monte- PA,NH3V,120000.0,1034.0,0

